Player,Age,Tm,MP,TRB,AST,STL,BLK,PS/G,PER,TS%,USG%,Year,box,W/L%,playoffs,Share,got_votes,gp_pct
Stephen Curry,27,GSW,34.2,5.4,6.7,2.1,0.2,30.1,31.5,0.669,32.6,2016,14.4,0.89,1,1.0,1,0.9634146341463414
Shaquille O'Neal,27,LAL,40.0,13.6,3.8,0.5,3.0,29.7,30.6,0.578,31.2,2000,20.9,0.8170000000000001,1,0.998,1,0.9634146341463414
LeBron James,28,MIA,37.9,8.0,7.3,1.7,0.9,26.8,31.6,0.64,30.2,2013,17.9,0.805,1,0.998,1,0.926829268292683
Kevin Garnett,27,MIN,39.4,13.9,5.0,1.5,2.2,24.2,29.4,0.547,29.6,2004,22.599999999999998,0.7070000000000001,1,0.991,1,1.0
Kevin Durant,25,OKC,38.5,7.4,5.5,1.3,0.7,32.0,29.8,0.635,33.0,2014,14.9,0.72,1,0.986,1,0.9878048780487805
LeBron James,25,CLE,39.0,7.3,8.6,1.6,1.0,29.7,31.1,0.604,33.5,2010,18.5,0.7440000000000001,1,0.98,1,0.926829268292683
Derrick Rose,22,CHI,37.4,4.1,7.7,1.0,0.6,25.0,23.5,0.55,32.2,2011,13.4,0.7559999999999999,1,0.977,1,0.9878048780487805
LeBron James,24,CLE,37.7,7.6,7.2,1.7,1.1,28.4,31.7,0.591,33.8,2009,17.6,0.805,1,0.9690000000000001,1,0.9878048780487805
Stephen Curry,26,GSW,32.7,4.3,7.7,2.0,0.2,23.8,28.0,0.638,28.9,2015,14.2,0.8170000000000001,1,0.922,1,0.975609756097561
Allen Iverson,25,PHI,42.0,3.8,4.6,2.5,0.3,31.1,24.0,0.518,35.9,2001,11.2,0.6829999999999999,1,0.904,1,0.8658536585365854
LeBron James,27,MIA,37.5,7.9,6.2,1.9,0.8,27.1,30.7,0.605,32.0,2012,16.8,0.6970000000000001,1,0.888,1,0.9393939393939394
Dirk Nowitzki,28,DAL,36.2,8.9,3.4,0.7,0.8,24.6,27.6,0.605,28.9,2007,13.8,0.8170000000000001,1,0.882,1,0.9512195121951219
Kobe Bryant,29,LAL,38.9,6.3,5.4,1.8,0.5,28.3,24.2,0.5760000000000001,31.4,2008,14.0,0.695,1,0.877,1,1.0
Steve Nash,30,PHO,34.3,3.3,11.5,1.0,0.1,15.5,22.0,0.606,20.5,2005,15.9,0.7559999999999999,1,0.8390000000000001,1,0.9146341463414634
Shaquille O'Neal,32,MIA,34.1,10.4,2.7,0.5,2.3,22.9,27.0,0.583,30.5,2005,15.900000000000002,0.72,1,0.813,1,0.8902439024390244
Tim Duncan,26,SAS,39.3,12.9,3.9,0.7,2.9,23.3,26.9,0.564,28.0,2003,20.4,0.732,1,0.8079999999999999,1,0.9878048780487805
Steve Nash,32,PHO,35.3,3.5,11.6,0.8,0.1,18.6,23.8,0.654,22.9,2007,16.0,0.7440000000000001,1,0.785,1,0.926829268292683
Tim Duncan,25,SAS,40.6,12.7,3.7,0.7,2.5,25.5,27.0,0.5760000000000001,29.0,2002,19.599999999999998,0.7070000000000001,1,0.757,1,1.0
Steve Nash,31,PHO,35.4,4.2,10.5,0.8,0.2,18.8,23.3,0.632,23.3,2006,15.7,0.659,1,0.7390000000000001,1,0.9634146341463414
Kevin Durant,23,OKC,38.6,8.0,3.5,1.3,1.2,28.0,26.2,0.61,31.3,2012,14.0,0.7120000000000001,1,0.735,1,1.0
Kevin Garnett,26,MIN,40.5,13.4,6.0,1.4,1.6,23.0,26.4,0.5529999999999999,26.4,2003,22.4,0.622,1,0.732,1,1.0
James Harden,25,HOU,36.8,5.7,7.0,1.9,0.7,27.4,26.7,0.605,31.3,2015,15.299999999999999,0.6829999999999999,1,0.72,1,0.9878048780487805
LeBron James,29,MIA,37.7,6.9,6.3,1.6,0.3,27.1,29.3,0.649,31.0,2014,15.1,0.659,1,0.713,1,0.9390243902439024
Jason Kidd,28,NJN,37.3,7.3,9.9,2.1,0.2,14.7,19.1,0.484,22.5,2002,19.5,0.634,1,0.7120000000000001,1,1.0
Chris Paul,22,NOH,37.6,4.0,11.6,2.7,0.1,21.1,28.3,0.5760000000000001,25.7,2008,18.400000000000002,0.6829999999999999,1,0.706,1,0.975609756097561
Kevin Durant,24,OKC,38.5,7.9,4.6,1.4,1.3,28.1,28.3,0.647,29.8,2013,15.200000000000001,0.732,1,0.632,1,0.9878048780487805
Tim Duncan,27,SAS,36.6,12.4,3.1,0.9,2.7,22.3,27.1,0.534,29.7,2004,19.099999999999998,0.695,1,0.5820000000000001,1,0.8414634146341463
Kobe Bryant,30,LAL,36.1,5.2,4.9,1.5,0.5,26.8,24.4,0.561,32.2,2009,12.100000000000001,0.7929999999999999,1,0.5770000000000001,1,1.0
Tim Duncan,24,SAS,38.7,12.2,3.0,0.9,2.3,22.2,23.8,0.536,28.7,2001,18.4,0.7070000000000001,1,0.569,1,1.0
Dwyane Wade,27,MIA,38.6,5.0,7.5,2.2,1.3,30.2,30.4,0.574,36.2,2009,16.0,0.524,1,0.562,1,0.9634146341463414
Shaquille O'Neal,29,LAL,36.1,10.7,3.0,0.6,2.0,27.2,29.7,0.59,31.8,2002,16.299999999999997,0.7070000000000001,1,0.552,1,0.8170731707317073
LeBron James,21,CLE,42.5,7.0,6.6,1.6,0.8,31.4,28.1,0.568,33.6,2006,16.0,0.61,1,0.55,1,0.9634146341463414
Kevin Garnett,31,BOS,32.8,9.2,3.4,1.4,1.3,18.8,25.3,0.588,25.5,2008,15.3,0.805,1,0.532,1,0.8658536585365854
