Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Atlantic Division
Boston Celtics* (2),62,20,.756,—,100.9,93.4,7.44
Philadelphia 76ers* (6),41,41,.500,21.0,97.4,97.3,0.16
New Jersey Nets (11),34,48,.415,28.0,98.1,100.5,-2.31
Toronto Raptors (13),33,49,.402,29.0,99.0,101.9,-2.54
New York Knicks (14),32,50,.390,30.0,105.2,107.8,-2.33
Central Division
Cleveland Cavaliers* (1),66,16,.805,—,100.3,91.4,8.68
Chicago Bulls* (7),41,41,.500,25.0,102.2,102.5,-0.16
Detroit Pistons* (8),39,43,.476,27.0,94.2,94.7,-0.36
Indiana Pacers (9),36,46,.439,30.0,105.1,106.2,-0.76
Milwaukee Bucks (12),34,48,.415,32.0,99.3,100.4,-0.88
Southeast Division
Orlando Magic* (3),59,23,.720,—,101.0,94.4,6.48
Atlanta Hawks* (4),47,35,.573,12.0,98.1,96.5,1.70
Miami Heat* (5),43,39,.524,16.0,98.3,98.0,0.49
Charlotte Bobcats (10),35,47,.427,24.0,93.6,94.9,-1.20
Washington Wizards (15),19,63,.232,40.0,96.1,103.5,-6.98
