Western Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Northwest Division
Denver Nuggets* (2),54,28,.659,—,104.3,100.9,3.13
Portland Trail Blazers* (4),54,28,.659,—,99.4,94.1,5.00
Utah Jazz* (8),48,34,.585,6.0,103.6,100.9,2.31
Minnesota Timberwolves (11),24,58,.293,30.0,97.8,102.7,-4.74
Oklahoma City Thunder (13),23,59,.280,31.0,97.0,103.1,-6.04
Pacific Division
Los Angeles Lakers* (1),65,17,.793,—,106.9,99.3,7.11
Phoenix Suns (9),46,36,.561,19.0,109.4,107.5,1.62
Golden State Warriors (10),29,53,.354,36.0,108.6,112.3,-3.80
Los Angeles Clippers (14),19,63,.232,46.0,95.1,103.9,-8.47
Sacramento Kings (15),17,65,.207,48.0,100.6,109.3,-8.60
Southwest Division
San Antonio Spurs* (3),54,28,.659,—,97.0,93.3,3.36
Houston Rockets* (5),53,29,.646,1.0,98.4,94.4,3.73
Dallas Mavericks* (6),50,32,.610,4.0,101.7,99.8,1.68
New Orleans Hornets* (7),49,33,.598,5.0,95.8,94.3,1.41
Memphis Grizzlies (12),24,58,.293,30.0,93.9,99.3,-5.23
